question,quote,source file
What is the professional background of Ben Gilbert?,"Ben: Sure thing. Hey, everyone. I'm Ben Gilbert. I'm one-half of the Acquired podcast, background in engineering, product management. Today, a general partner at Pioneer Square labs in Seattle writing seed stage investments. and have a burgeoning podcasting, seven-year bootstrap project turned media empire.",Reverse Interview with Ben and David at Vanta
Who led snowflake's series C round?,"Ben: On the investing side, he [Brad Gerstner] led the Series C in Snowflake and still owns a massive stake of the company.",Altimeter (with Brad Gerstner)
Who is the presenting sponsor for Season 10 of the Acquired podcast?,"Ben: Listeners, before we dive in, we want to thank the presenting sponsor for all of Season 10, Vanta, the leader in automated security and compliance. OR David: Indeed, we're so excited. Vouch is continuing to sponsor Acquired in season 10.",Taylor Swift
Where did Brad Gerstner grow up?,"Brad: I grew up in a small rural town in northern Indiana near Notre Dame, first generation college. My dad had a classic immigrant story. His parents had kind of given up everything in order to help put their only child through college. He started at Northwestern, they couldn't afford to finish there, ended up at Bradley in Illinois, got an engineering degree.",
What was Activision Blizzard's revenue for 2016?,"David: Yeah. So to wrap it up, in yearend 2016, at the end of last year, just Blizzard within Activision Blizzard did $2.4 billion in revenue, which by the way was up from 1.6 in 2015, so the growth is insane.",Activision Blizzard
Who founded Blizzard?,"So Blizzard was started initially as a company called Silicon & Synapse by three college friends from UCLA right after they graduated in 1991, they had all studied computer science together: Allan Adham, Frank Pearce, and Mike Morhaime. They love video games and they wanted to get into the scene and they decided kind of “hey, rather than working for someone else, this industry is young, let’s start a company.” And so they did and they started out at first not actually making their own games because they just graduated from college, they really didn’t know what they were doing. They started porting other people’s games from platform to platform. Like one of the big titles that they ported was Battle Chess. I kind of vaguely remember this and they ported that version onto the Commodore 64, and that both led them to make some money as a baby startup but also got them experience with game development and they got kind of access to these code bases of what games look like.",Activision Blizzard
What person from what company leads a Latin American VC fund?,"Now onto our presenting sponsor for all of these specials, the SoftBank Latin America Fund. We have a very special guest you've heard from Shu, Paulo, and the CEOs of unicorns in the portfolio like Rappi, Quinto Andar, and Banco Inter. Today we are joined by Marcelo Claure, the COO of SoftBank Group and the CEO of SoftBank International, where he leads the Latin America Fund. Welcome, Marcelo.",7 Powers with Hamilton Helmer
Who gave Hamilton Helmer a job at McKinsey?,"Hamilton: Yeah. That was their only office at the time and they were growing like stink. So I had this funny experience where I had nine interviews of an hour each. There was a quite a lot of skepticism, kind of an egghead, doesn't have an MBA.

Finally, my last interview was with Bill Bain. I sat down in his office and I thought, you know, I'm really interested in what he's doing. I spent the entire interview asking him about how he got it started, what was his entrepreneurial experience, which always has fascinated me.

David: I forget the name of the folks who founded McKinsey, but they created a whole market. They're entrepreneurs.

Hamilton: Yeah. McKinsey goes back further, and then BCG came in as sort of a strategy focus, and then Bain spun out of BCG. Then Bill looks at his watch and he says, oh, our hour is up. I've got to go and I realized, oh my God. I haven't said anything about myself. You idiot, Hamilton.

So we're literally walking towards the door. He's shaking my hand and I said, oh, Mr. Bain, I'm sure I can do the work here. I'm really interested and it's fine. Everybody is worried about me not having an MBA, but that's just not a problem. I'm sure I can do it. He said, oh, I don't have an MBA either.

David: Great.",7 Powers with Hamilton Helmer
Is there math in the Seven Powers book?,"Hamilton: I'll just end with a funny anecdote, which is, there's a question of whether I put any math in the book at all to speak of, and then the end, I put it in the appendix so that you don't have to read it, but it is there. The reason I use it is just for precision of logic. It makes things very clear exactly what you're talking about.",7 Powers with Hamilton Helmer
Why does 10-K choose to post on Twitter on Saturday mornings?,"10-K: I posted my first thread on a Saturday morning. I don’t remember if it was a Saturday morning or a Friday morning of a long weekend. It might have been Friday but it was a long weekend, so Friday, Saturday, and Sunday were off. Inside that is basically that if you’re going to be posting not about the daily news, not something that is time sensitive, if you’re going to be posting about a general investing concept, you’ll get down to people’s feeds early in the weekend.",10-K Diver_ Building a Top Fintwit Account and Teaching Finance Principles to Everyone (Pseudonymously_)
